PC_1,PC_2
-9848.636815880373,-22636.94852475174
-9952.690954950898,12787.002829964973
-9917.834692223056,13609.111536932536
-9173.896029859712,-18037.25148421055
-1435.920302837943,-18102.18384966393
-9628.674486538246,-10931.958036755232
-9446.457034197738,-20965.26292556136
-9771.005045384241,-16693.525271183225
-9535.928437129242,-23336.4504430826
-9865.855394660826,-19281.77966724009
-8621.741333678652,-23483.643992014946
-9717.78259456899,-23573.803483345124
-9691.957817386932,-23523.375456421985
-9739.767542115023,-23425.356571067747
-9626.24181586498,-23875.405738752408
-9613.053380378149,-23432.253679148427
-9842.034599829582,-22118.532104026504
-9786.319380897594,-22477.67605720048
-9590.90675495227,-17766.87014697368
-9799.855271953304,47376.02229224002
-6830.667400505557,-22001.873400817556
-9141.057013326455,-22635.509137363584
-8748.487451195017,-22894.068139272564
-7959.115405164821,-22874.868076287992
-9852.496650255287,-22590.655458012185
-9828.32868277683,-23105.81925371843
-8235.44728107486,-23805.34784487172
-9860.72079895104,-22519.687201196863
-9838.962545361288,-22762.64425913962
-9862.161733957906,-19817.603311854728
-9866.99781631308,-19617.039011125165
-9797.290654170421,-23338.98652849225
-9067.785848838912,-23420.600376547885
-9862.874936290573,-21557.62733473424
-9453.976836018577,-23804.922990929805
-4228.003741067056,-23658.69808206365
-8795.45716886744,-23668.180559341334
-9497.81741952318,-23485.298030186284
-8963.695908920927,-23752.167802302294
-9472.995257918114,-23676.712268369043
-9734.97688544008,-23734.581169597044
-9005.166981569726,-23724.000389120767
-9684.730789814117,-23683.240905451654
-9749.8981161675,-23219.771860784593
-9231.816382667437,-23491.809320996344
-9526.165046979508,-23555.30140306984
-9836.40253470216,-23133.843476264534
-9758.800975003063,-23231.219437034742
-9841.202611469465,-22867.361816378692
-9853.660479557937,-23028.82848306192
-9861.05431166962,-22393.994483028753
-9871.035940065274,-18849.01775136549
-9654.743230153053,-23507.786902795968
-9859.64146597622,-20720.37801351056
-8507.603594782853,-23693.522760265343
-9704.101737597359,-23643.185155606723
-9838.608337391779,-23542.726511992907
-9842.643489090533,-23156.08308794703
-9808.87281677713,-23372.16515601038
-9856.59208554427,-22853.706895809926
-9780.51719996117,-23507.45700329672
-9621.21734371242,-23604.83094528889
-9807.809100140124,-22948.69713701999
-9786.70918673833,-23680.314037913267
-9218.701462033698,-23765.07227083892
-9838.345490901387,-23613.98946334099
